Linux 3.13.0-55-generic (hp13-HP-EliteDesk-800-G1-SFF) 	25/06/15 	_x86_64_	(8 CPU)

13:31:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:35:06        all     83,23      0,00     14,41      0,00      0,00      2,36
13:35:07        all     82,29      0,00     14,32      0,00      0,00      3,39
13:35:08        all     82,46      0,00     14,66      0,00      0,00      2,88
13:35:09        all     83,44      0,00     12,05      0,00      0,00      4,52
13:35:10        all     84,54      0,00     13,97      0,00      0,00      1,50
13:35:11        all     87,48      0,00      5,51      0,13      0,00      6,88
13:35:12        all     85,82      0,00     10,20      0,00      0,00      3,98
13:35:13        all     83,40      0,00     14,11      0,12      0,00      2,37
13:35:14        all     76,09      0,00     12,83      0,00      0,00     11,08
13:35:15        all     82,50      0,00     14,62      0,00      0,00      2,88
13:35:16        all     85,22      0,00     11,30      0,00      0,00      3,48
13:35:17        all     82,69      0,00     14,30      0,13      0,00      2,89
13:35:18        all     96,61      0,00      1,25      0,00      0,00      2,13
13:35:19        all     80,93      0,00     14,81      0,00      0,00      4,27
13:35:20        all     83,12      0,00     14,00      0,00      0,00      2,88
13:35:21        all     81,56      0,00     12,67      0,00      0,00      5,77
13:35:22        all     84,39      0,00     14,48      0,00      0,00      1,12
13:35:23        all     73,27      0,00     14,50      0,00      0,00     12,23
13:35:24        all     85,59      0,00     10,43      0,00      0,00      3,98
13:35:25        all     94,20      0,00      4,16      0,00      0,00      1,64
13:35:26        all     82,48      0,00     14,39      0,00      0,00      3,13
13:35:27        all     82,25      0,00     14,75      0,00      0,00      3,00
13:35:28        all     86,47      0,00     12,16      0,00      0,00      1,38
13:35:29        all     82,12      0,00     14,62      0,00      0,00      3,25
13:35:30        all     85,55      0,00     10,83      0,00      0,00      3,61
13:35:31        all     84,37      0,00     11,79      0,12      0,00      3,72
13:35:32        all     91,25      0,00      3,12      0,00      0,00      5,62
13:35:33        all     82,71      0,00     15,04      0,00      0,00      2,26
13:35:34        all     80,53      0,00     14,57      0,00      0,00      4,90
13:35:35        all     85,61      0,00     11,64      0,00      0,00      2,75
13:35:36        all     84,91      0,00     13,84      0,00      0,00      1,25
13:35:37        all     84,23      0,00     13,02      0,00      0,00      2,75
13:35:38        all     82,46      0,00     13,78      0,00      0,00      3,76
13:35:39        all     96,00      0,00      1,75      0,00      0,00      2,25
13:35:40        all     85,98      0,00     12,64      0,00      0,00      1,38
13:35:41        all     81,00      0,00     15,00      0,00      0,00      4,00
13:35:42        all     83,60      0,00     12,89      0,00      0,00      3,50
13:35:43        all     83,65      0,00     14,36      0,00      0,00      2,00
13:35:44        all     85,25      0,00     12,50      0,00      0,00      2,25
13:35:45        all     83,62      0,00     13,88      0,00      0,00      2,50
13:35:46        all     94,99      0,00      3,01      0,00      0,00      2,01
13:35:47        all     85,38      0,00     10,88      0,00      0,00      3,75
13:35:48        all     83,23      0,00     14,27      0,00      0,00      2,50
13:35:49        all     79,57      0,00     12,91      0,00      0,00      7,52
13:35:50        all     84,12      0,00     14,62      0,00      0,00      1,25
13:35:51        all     83,00      0,00     13,25      0,00      0,00      3,75
13:35:52        all     81,98      0,00     14,77      0,00      0,00      3,25
13:35:53        all     92,63      0,00      4,99      0,00      0,00      2,37
13:35:54        all     86,92      0,00     10,06      0,00      0,00      3,02
13:35:55        all     82,35      0,00     15,14      0,00      0,00      2,50
13:35:56        all     83,90      0,00     12,48      0,00      0,00      3,62
13:35:57        all     84,68      0,00     13,45      0,00      0,00      1,87
13:35:58        all     82,48      0,00     13,02      0,00      0,00      4,51
13:35:59        all     80,00      0,00     14,88      0,62      0,00      4,50
13:36:00        all     87,59      0,00      8,90      0,00      0,00      3,51
13:36:01        all     89,96      0,00      6,65      0,00      0,00      3,39
13:36:02        all     79,52      0,00     16,83      0,00      0,00      3,64
13:36:03        all     84,02      0,00     13,48      0,00      0,00      2,50
13:36:04        all     81,30      0,00     14,18      0,00      0,00      4,52
13:36:05        all     84,75      0,00     12,38      0,00      0,00      2,88
13:36:06        all     79,88      0,00     14,12      0,00      0,00      6,00
13:36:07        all     84,50      0,00     11,50      0,00      0,00      4,00
13:36:08        all     95,24      0,00      3,13      0,00      0,00      1,63
13:36:09        all     82,04      0,00     14,34      0,00      0,00      3,62
13:36:10        all     84,31      0,00     12,70      0,00      0,00      2,99
13:36:11        all     82,08      0,00     14,54      0,00      0,00      3,38
13:36:12        all     84,61      0,00     12,89      0,00      0,00      2,50
13:36:13        all     81,56      0,00     14,81      0,00      0,00      3,64
13:36:14        all     85,38      0,00     13,50      0,00      0,00      1,12
13:36:15        all     96,25      0,00      1,50      0,00      0,00      2,25
13:36:16        all     82,90      0,00     14,61      0,00      0,00      2,50
13:36:17        all     84,82      0,00     12,67      0,00      0,00      2,51
13:36:18        all     84,71      0,00     13,66      0,00      0,00      1,63
13:36:19        all     84,88      0,00     12,62      0,00      0,00      2,50
13:36:20        all     83,23      0,00     13,77      0,25      0,00      2,75
13:36:21        all     82,71      0,00     13,66      0,00      0,00      3,63
13:36:22        all     90,48      0,00      7,27      0,00      0,00      2,26
13:36:23        all     89,39      0,00      7,37      0,00      0,00      3,25
13:36:24        all     83,75      0,00     12,62      0,00      0,00      3,62
13:36:25        all     83,21      0,00     14,29      0,00      0,00      2,51
13:36:26        all     83,48      0,00     12,64      0,00      0,00      3,88
13:36:27        all     80,23      0,00     14,14      0,00      0,00      5,63
13:36:28        all     80,83      0,00     14,91      0,00      0,00      4,26
13:36:29        all     87,25      0,00     10,25      0,00      0,00      2,50
13:36:30        all     93,37      0,00      4,63      0,00      0,00      2,00
13:36:31        all     82,17      0,00     13,34      0,00      0,00      4,49
13:36:32        all     81,74      0,00     14,61      0,00      0,00      3,65
13:36:33        all     83,48      0,00     14,16      0,00      0,00      2,36
13:36:34        all     81,12      0,00     13,38      0,00      0,00      5,50
13:36:35        all     81,18      0,00     14,93      0,00      0,00      3,89
13:36:36        all     85,82      0,00     13,05      0,00      0,00      1,13
13:36:37        all     91,76      0,00      4,74      0,00      0,00      3,50
13:36:38        all     85,07      0,00      9,66      0,00      0,00      5,27
13:36:39        all     82,62      0,00     14,25      0,00      0,00      3,12
13:36:40        all     82,98      0,00     14,39      0,00      0,00      2,63
13:36:41        all     84,07      0,00     12,92      0,00      0,00      3,01
13:36:42        all     83,38      0,00     14,50      0,00      0,00      2,12
13:36:43        all     83,67      0,00     12,84      0,00      0,00      3,49
13:36:44        all     88,10      0,00     10,53      0,00      0,00      1,38
13:36:45        all     94,37      0,00      3,88      0,00      0,00      1,75
13:36:46        all     81,38      0,00     14,62      0,00      0,00      4,00
13:36:47        all     82,04      0,00     14,84      0,00      0,00      3,12
13:36:48        all     85,02      0,00     12,36      0,00      0,00      2,62
13:36:49        all     83,50      0,00     14,37      0,00      0,00      2,12
13:36:50        all     83,73      0,00     12,39      0,00      0,00      3,88
13:36:51        all     82,50      0,00     14,37      0,00      0,00      3,12
13:36:52        all     92,99      0,00      2,00      0,00      0,00      5,01
13:36:53        all     85,73      0,00     12,77      0,00      0,00      1,50
13:36:54        all     81,95      0,00     13,91      0,00      0,00      4,14
13:36:55        all     83,38      0,00     12,75      0,00      0,00      3,88
13:36:56        all     82,12      0,00     15,00      0,00      0,00      2,88
13:36:57        all     84,25      0,00     12,75      0,00      0,00      3,00
13:36:58        all     83,65      0,00     14,36      0,00      0,00      2,00
13:36:59        all     85,98      0,00     11,39      0,00      0,00      2,63
13:37:00        all     93,75      0,00      4,38      0,00      0,00      1,88
13:37:01        all     84,34      0,00     14,79      0,00      0,00      0,88
13:37:02        all     85,25      0,00     12,62      0,00      0,00      2,12
13:37:03        all     82,40      0,00     14,73      0,00      0,00      2,87
13:37:04        all     85,64      0,00     12,73      0,00      0,00      1,62
13:37:05        all     83,23      0,00     14,64      0,13      0,00      2,00
13:37:06        all     82,06      0,00     14,43      0,00      0,00      3,51
13:37:07        all     92,87      0,00      5,13      0,00      0,00      2,00
13:37:08        all     86,73      0,00     10,39      0,00      0,00      2,88
13:37:09        all     78,12      0,00     12,75      0,00      0,00      9,12
13:37:10        all     80,83      0,00     14,66      0,00      0,00      4,51
13:37:11        all     84,91      0,00     12,84      0,12      0,00      2,12
13:37:12        all     84,02      0,00     14,98      0,00      0,00      1,00
13:37:13        all     81,08      0,00     14,41      0,00      0,00      4,51
13:37:14        all     89,25      0,00      7,38      0,12      0,00      3,25
13:37:15        all     90,11      0,00      7,01      0,00      0,00      2,88
13:37:16        all     81,78      0,00     12,69      0,00      0,00      5,53
13:37:17        all     83,21      0,00     15,05      0,00      0,00      1,74
13:37:18        all     82,64      0,00     12,96      0,00      0,00      4,40
13:37:19        all     83,23      0,00     14,14      0,00      0,00      2,63
13:37:20        all     81,05      0,00     14,34      0,00      0,00      4,61
13:37:21        all     84,80      0,00     12,94      0,00      0,00      2,26
13:37:22        all     93,49      0,00      3,63      0,00      0,00      2,88
13:37:23        all     79,03      0,00     12,73      0,00      0,00      8,24
13:37:24        all     80,73      0,00     15,02      0,00      0,00      4,26
13:37:25        all     83,33      0,00     13,53      0,00      0,00      3,13
13:37:26        all     82,60      0,00     13,27      0,00      0,00      4,13
13:37:27        all     83,40      0,00     13,73      0,00      0,00      2,87
13:37:28        all     84,94      0,00     12,55      0,13      0,00      2,38
13:37:29        all     87,25      0,00     10,00      0,00      0,00      2,75
13:37:30        all     93,02      0,00      4,61      0,00      0,00      2,37
13:37:31        all     79,72      0,00     14,39      0,00      0,00      5,88
13:37:32        all     81,43      0,00     14,81      0,00      0,00      3,76
13:37:33        all     84,59      0,00     12,78      0,00      0,00      2,63
13:37:34        all     83,54      0,00     14,07      0,00      0,00      2,39
13:37:35        all     84,98      0,00     12,02      0,00      0,00      3,00
13:37:36        all     82,08      0,00     14,04      0,00      0,00      3,88
13:37:37        all     94,12      0,00      3,50      0,00      0,00      2,38
13:37:38        all     87,33      0,00     11,04      0,00      0,00      1,63
13:37:39        all     81,10      0,00     15,89      0,13      0,00      2,88
13:37:40        all     83,48      0,00     13,89      0,00      0,00      2,63
13:37:41        all     80,43      0,00     16,94      0,00      0,00      2,63
13:37:42        all     85,16      0,00     13,09      0,00      0,00      1,75
13:37:43        all     79,70      0,00     17,79      0,00      0,00      2,51
13:37:44        all     82,52      0,00     13,73      0,00      0,00      3,75
13:37:45        all     79,29      0,00     17,17      0,00      0,00      3,54
13:37:46        all     82,94      0,00     14,07      0,00      0,00      2,99
13:37:47        all     80,25      0,00     17,25      0,00      0,00      2,50
13:37:48        all     81,38      0,00     13,96      0,00      0,00      4,65
13:37:49        all     80,02      0,00     18,35      0,00      0,00      1,62
13:37:50        all     83,31      0,00     12,20      0,25      0,00      4,23
13:37:51        all     90,54      0,00      7,35      0,00      0,00      2,12
13:37:52        all     91,33      0,00      7,16      0,00      0,00      1,51
13:37:53        all     83,19      0,00     14,05      0,00      0,00      2,76
13:37:54        all     83,21      0,00     13,28      0,00      0,00      3,51
13:37:55        all     83,48      0,00     13,77      0,00      0,00      2,75
13:37:56        all     80,90      0,00     14,36      0,00      0,00      4,74
13:37:57        all     84,52      0,00     12,73      0,00      0,00      2,75
13:37:58        all     88,64      0,00      8,74      0,00      0,00      2,62
13:37:59        all     91,12      0,00      6,00      0,00      0,00      2,88
13:38:00        all     82,38      0,00     14,50      0,00      0,00      3,12
13:38:01        all     78,95      0,00     14,79      0,00      0,00      6,27
13:38:02        all     85,36      0,00     12,52      0,00      0,00      2,13
13:38:03        all     81,88      0,00     14,37      0,00      0,00      3,75
13:38:04        all     85,06      0,00     12,45      0,00      0,00      2,49
13:38:05        all     87,84      0,00     10,28      0,00      0,00      1,88
13:38:06        all     90,66      0,00      4,98      0,00      0,00      4,36
13:38:07        all     84,86      0,00     13,77      0,00      0,00      1,38
13:38:08        all     81,85      0,00     14,52      0,00      0,00      3,63
13:38:09        all     84,84      0,00     12,41      0,00      0,00      2,76
13:38:10        all     82,48      0,00     14,64      0,00      0,00      2,88
13:38:11        all     85,61      0,00     12,77      0,00      0,00      1,63
13:38:12        all     84,96      0,00     12,41      0,00      0,00      2,63
13:38:13        all     93,86      0,00      4,51      0,00      0,00      1,63
13:38:14        all     80,53      0,00     12,94      0,00      0,00      6,53
