# time,value,value
3125,2617794,2617.794
3130,2622384,2622.384
3136,2626365,2626.365
3141,2630497,2630.497
3146,2634374,2634.374
3151,2638302,2638.302
3156,2642333,2642.333
3161,2646670,2646.67
3166,2651005,2651.005
3171,2655394,2655.394
3176,2659629,2659.629
3181,2663762,2663.762
3186,2667997,2667.997
3191,2672130,2672.13
3196,2675549,2675.549
3201,2678610,2678.61
3206,2682641,2682.641
3211,2686146,2686.146
3216,2690445,2690.445
3221,2694037,2694.037
3226,2698093,2698.093
3231,2703068,2703.068
3236,2707762,2707.762
3241,2712202,2712.202
3246,2716847,2716.847
3251,2720825,2720.825
3256,2725415,2725.415
3261,2729806,2729.806
3266,2734805,2734.805
3271,2739346,2739.346
3276,2744548,2744.548
3281,2748169,2748.169
3286,2752300,2752.3
3291,2757146,2757.146
3296,2761227,2761.227
3301,2764900,2764.9
3306,2769542,2769.542
3311,2772959,2772.959
3316,2776886,2776.886
3321,2781476,2781.476
3326,2785454,2785.454
3331,2789585,2789.585
3336,2794634,2794.634
3341,2799531,2799.531
3346,2803867,2803.867
3351,2807539,2807.539
3356,2811773,2811.773
3361,2815598,2815.598
3366,2820035,2820.035
3371,2824217,2824.217
3376,2827889,2827.889
3381,2831561,2831.561
3386,2835744,2835.744
3391,2839722,2839.722
3396,2844211,2844.211
3401,2848444,2848.444
3406,2852728,2852.728
3411,2856502,2856.502
3416,2860787,2860.787
3421,2864663,2864.663
3426,2868897,2868.897
3431,2872671,2872.671
3436,2877261,2877.261
3441,2881495,2881.495
3446,2885932,2885.932
3451,2889757,2889.757
3456,2893481,2893.481
3461,2897255,2897.255
3466,2901794,2901.794
3471,2905670,2905.67
3476,2909903,2909.903
3481,2914239,2914.239
3486,2919237,2919.237
3491,2923368,2923.368
3496,2927703,2927.703
3501,2932191,2932.191
3506,2936985,2936.985
3511,2941066,2941.066
3516,2944942,2944.942
3521,2948716,2948.716
3526,2952337,2952.337
3531,2956010,2956.01
3536,2959581,2959.581
3541,2963457,2963.457
3546,2967486,2967.486
3551,2971719,2971.719
3556,2975498,2975.498
3561,2978609,2978.609
3566,2982385,2982.385
3571,2985955,2985.955
3576,2989576,2989.576
3581,2993199,2993.199
3586,2997025,2997.025
3591,3000544,3000.544
3596,3004421,3004.421
3601,3008504,3008.504
3606,3012533,3012.533
3611,3016104,3016.104
3616,3020289,3020.289
3621,3024120,3024.12
3626,3027845,3027.845
3631,3032133,3032.133
3636,3036574,3036.574
3641,3041064,3041.064
3646,3044789,3044.789
3651,3048770,3048.77
3656,3053006,3053.006
3661,3056934,3056.934
3666,3061016,3061.016
3671,3065151,3065.151
3676,3069336,3069.336
3681,3073060,3073.06
3686,3076625,3076.625
3691,3080958,3080.958
3696,3085222,3085.222
3701,3089526,3089.526
3706,3093606,3093.606
3711,3097690,3097.69
3716,3101433,3101.433
3721,3105385,3105.385
3726,3109805,3109.805
3731,3113497,3113.497
3736,3117917,3117.917
3741,3121609,3121.609
3746,3126029,3126.029
3751,3129721,3129.721
3756,3134713,3134.713
3761,3138665,3138.665
3766,3142669,3142.669
3771,3146153,3146.153
3776,3149897,3149.897
3781,3153693,3153.693
3786,3157125,3157.125
3791,3161077,3161.077
3796,3165029,3165.029
3801,3168877,3168.877
3806,3172829,3172.829
3811,3176937,3176.937
3816,3181149,3181.149
3821,3184893,3184.893
3826,3188585,3188.585
3831,3192537,3192.537
3836,3196593,3196.593
3841,3200649,3200.649
3846,3204705,3204.705
3851,3208293,3208.293
3856,3212037,3212.037
3861,3216093,3216.093
3866,3220149,3220.149
3871,3224361,3224.361
3876,3228469,3228.469
3881,3232681,3232.681
3886,3236529,3236.529
3891,3239857,3239.857
3896,3243757,3243.757
3901,3247865,3247.865
3906,3252025,3252.025
3911,3256393,3256.393
3916,3260969,3260.969
3921,3265389,3265.389
3926,3269445,3269.445
3931,3273553,3273.553
3936,3277245,3277.245
3941,3281665,3281.665
3946,3286449,3286.449
3951,3291025,3291.025
3956,3294717,3294.717
3961,3298201,3298.201
3966,3302257,3302.257
3971,3306833,3306.833
3976,3311565,3311.565
3981,3315309,3315.309
3986,3319313,3319.313
3991,3322797,3322.797
3996,3326749,3326.749
4001,3330649,3330.649
4006,3334445,3334.445
4011,3339073,3339.073
4016,3343285,3343.285
4021,3346769,3346.769
4026,3351033,3351.033
4031,3355557,3355.557
4036,3359821,3359.821
4041,3364189,3364.189
4046,3368037,3368.037
4051,3372561,3372.561
4056,3376721,3376.721
4061,3381297,3381.297
4066,3385613,3385.613
4071,3388941,3388.941
4076,3393153,3393.153
4081,3397521,3397.521
4086,3401837,3401.837
4091,3406465,3406.465
4096,3410885,3410.885
4101,3415305,3415.305
4106,3420349,3420.349
4111,3424041,3424.041
4116,3428513,3428.513
4121,3432673,3432.673
4126,3437873,3437.873
4131,3442137,3442.137
4136,3446193,3446.193
4141,3450717,3450.717
4146,3455241,3455.241
4151,3460077,3460.077
4156,3464341,3464.341
4161,3468397,3468.397
4166,3473337,3473.337
4171,3477861,3477.861
4176,3481605,3481.605
4181,3486597,3486.597
4186,3490705,3490.705
4191,3494657,3494.657
4196,3498765,3498.765
