id,time,time (ns),time (ms),
406,99401449802,97631653883,97631.653883,97.631653883
407,98901841605,97132045686,97132.045686,97.132045686
408,98401256128,96631460209,96631.460209,96.631460209
409,97899739824,96129943905,96129.943905,96.129943905
410,97400586797,95630790878,95630.790878,95.630790878
411,96899250687,95129454768,95129.454768,95.129454768
412,96399396776,94629600857,94629.600857,94.629600857
413,95898635653,94128839734,94128.839734,94.128839734
414,95398378485,93628582566,93628.582566,93.628582566
415,94897431428,93127635509,93127.635509,93.127635509
416,94396985780,92627189861,92627.189861,92.627189861
417,93895342584,92125546665,92125.546665,92.125546665
418,93395937696,91626141777,91626.141777,91.626141777
419,92909711753,91139915834,91139.915834,91.139915834
420,92394552112,90624756193,90624.756193,90.624756193
421,91893495708,90123699789,90123.699789,90.123699789
422,91393850461,89624054542,89624.054542,89.624054542
423,90893627712,89123831793,89123.831793,89.123831793
424,90392944717,88623148798,88623.148798,88.623148798
425,89892322560,88122526641,88122.526641,88.122526641
426,89391573796,87621777877,87621.777877,87.621777877
427,88891589505,87121793586,87121.793586,87.121793586
428,88390732492,86620936573,86620.936573,86.620936573
429,87890503069,86120707150,86120.70715,86.12070715
430,87388815803,85619019884,85619.019884,85.619019884
431,86889378782,85119582863,85119.582863,85.119582863
432,86388257250,84618461331,84618.461331,84.618461331
433,85887510132,84117714213,84117.714213,84.117714213
434,85388105721,83618309802,83618.309802,83.618309802
435,84886762886,83116966967,83116.966967,83.116966967
436,84386913662,82617117743,82617.117743,82.617117743
437,83886578516,82116782597,82116.782597,82.116782597
438,83385124626,81615328707,81615.328707,81.615328707
439,82885888444,81116092525,81116.092525,81.116092525
440,82385393249,80615597330,80615.59733,80.61559733
441,81884091867,80114295948,80114.295948,80.114295948
442,81383119546,79613323627,79613.323627,79.613323627
443,80883865145,79114069226,79114.069226,79.114069226
444,80382664551,78612868632,78612.868632,78.612868632
445,79882066074,78112270155,78112.270155,78.112270155
446,79381869185,77612073266,77612.073266,77.612073266
447,25347486447,23577690528,23577.690528,23.577690528
448,78881642855,77111846936,77111.846936,77.111846936
449,26347971234,24578175315,24578.175315,24.578175315
450,78380546260,76610750341,76610.750341,76.610750341
451,77880123052,76110327133,76110.327133,76.110327133
452,77380495780,75610699861,75610.699861,75.610699861
453,76879548171,75109752252,75109.752252,75.109752252
454,28847413564,27077617645,27077.617645,27.077617645
455,76379719659,74609923740,74609.92374,74.60992374
456,29849267338,28079471419,28079.471419,28.079471419
457,30348237264,28578441345,28578.441345,28.578441345
458,75879423250,74109627331,74109.627331,74.109627331
459,75377699216,73607903297,73607.903297,73.607903297
460,74876936917,73107140998,73107.140998,73.107140998
461,74377584993,72607789074,72607.789074,72.607789074
462,73876430920,72106635001,72106.635001,72.106635001
463,73376267557,71606471638,71606.471638,71.606471638
464,72876150391,71106354472,71106.354472,71.106354472
465,72375426884,70605630965,70605.630965,70.605630965
466,71874972322,70105176403,70105.176403,70.105176403
467,71373934567,69604138648,69604.138648,69.604138648
468,70873052482,69103256563,69103.256563,69.103256563
469,70372223096,68602427177,68602.427177,68.602427177
470,69872445101,68102649182,68102.649182,68.102649182
471,69371493718,67601697799,67601.697799,67.601697799
472,68871108548,67101312629,67101.312629,67.101312629
473,68371344256,66601548337,66601.548337,66.601548337
474,67870649436,66100853517,66100.853517,66.100853517
475,67370690573,65600894654,65600.894654,65.600894654
476,39852259935,38082464016,38082.464016,38.082464016
477,66870336929,65100541010,65100.54101,65.10054101
478,66370062332,64600266413,64600.266413,64.600266413
479,65869629670,64099833751,64099.833751,64.099833751
480,65368696201,63598900282,63598.900282,63.598900282
481,64869269577,63099473658,63099.473658,63.099473658
482,64368887120,62599091201,62599.091201,62.599091201
483,63868259007,62098463088,62098.463088,62.098463088
484,63368104144,61598308225,61598.308225,61.598308225
485,62867046549,61097250630,61097.25063,61.09725063
486,62366556094,60596760175,60596.760175,60.596760175
487,61867891874,60098095955,60098.095955,60.098095955
488,61366055074,59596259155,59596.259155,59.596259155
489,60866447947,59096652028,59096.652028,59.096652028
490,60365578819,58595782900,58595.7829,58.5957829
491,59865132283,58095336364,58095.336364,58.095336364
492,59364856718,57595060799,57595.060799,57.595060799
493,58864785675,57094989756,57094.989756,57.094989756
494,58364185220,56594389301,56594.389301,56.594389301
495,57864606871,56094810952,56094.810952,56.094810952
496,57364637221,55594841302,55594.841302,55.594841302
497,56863259072,55093463153,55093.463153,55.093463153
498,56362731248,54592935329,54592.935329,54.592935329
499,55863657995,54093862076,54093.862076,54.093862076
500,55362510718,53592714799,53592.714799,53.592714799
