time,time (ms),queue,,time (s)
5508912441981,125854.339144,97,5383058102837,125.854339144
5508913228889,125855.126052,97,5383058102837,125.855126052
5509907505883,126849.403046,96,5383058102837,126.849403046
5509908764313,126850.661476,96,5383058102837,126.850661476
5509909597660,126851.494823,97,5383058102837,126.851494823
5509910204371,126852.101534,96,5383058102837,126.852101534
5509910934303,126852.831466,97,5383058102837,126.852831466
5510409287340,127351.184503,96,5383058102837,127.351184503
5510410260470,127352.157633,96,5383058102837,127.352157633
5511412060090,128353.957253,96,5383058102837,128.353957253
5511413035932,128354.933095,96,5383058102837,128.354933095
5511414405975,128356.303138,97,5383058102837,128.356303138
5511415147079,128357.044242,97,5383058102837,128.357044242
5511415717558,128357.614721,97,5383058102837,128.357614721
5511416357578,128358.254741,96,5383058102837,128.358254741
5511416936230,128358.833393,96,5383058102837,128.358833393
5511417909929,128359.807092,97,5383058102837,128.359807092
5512414848568,129356.745731,96,5383058102837,129.356745731
5512415587316,129357.484479,97,5383058102837,129.357484479
5512917447474,129859.344637,96,5383058102837,129.859344637
5512918249275,129860.146438,96,5383058102837,129.860146438
5512918868703,129860.765866,96,5383058102837,129.860765866
5513920972136,130862.869299,96,5383058102837,130.862869299
5513921654270,130863.551433,96,5383058102837,130.863551433
5513922515282,130864.412445,96,5383058102837,130.864412445
5513923470575,130865.367738,96,5383058102837,130.865367738
5513924569089,130866.466252,96,5383058102837,130.866466252
5513925736382,130867.633545,96,5383058102837,130.867633545
5513926734765,130868.631928,96,5383058102837,130.868631928
5514422788080,131364.685243,96,5383058102837,131.364685243
5514423566304,131365.463467,97,5383058102837,131.365463467
5514923463024,131865.360187,96,5383058102837,131.865360187
5514925168038,131867.065201,96,5383058102837,131.867065201
5514925948507,131867.84567,96,5383058102837,131.86784567
5514926582079,131868.479242,96,5383058102837,131.868479242
5514927208733,131869.105896,96,5383058102837,131.869105896
5515426358197,132368.25536,96,5383058102837,132.36825536
5515426967261,132368.864424,96,5383058102837,132.368864424
5515427594663,132369.491826,96,5383058102837,132.369491826
5515428383153,132370.280316,96,5383058102837,132.370280316
5515429210762,132371.107925,96,5383058102837,132.371107925
5515927047355,132868.944518,95,5383058102837,132.868944518
5515928326851,132870.224014,96,5383058102837,132.870224014
5515929125597,132871.02276,96,5383058102837,132.87102276
5516930244032,133872.141195,95,5383058102837,133.872141195
5516931291665,133873.188828,96,5383058102837,133.873188828
5517933654234,134875.551397,95,5383058102837,134.875551397
5517934448817,134876.34598,96,5383058102837,134.87634598
5517935146149,134877.043312,97,5383058102837,134.877043312
5517935864645,134877.761808,96,5383058102837,134.877761808
5517937130168,134879.027331,95,5383058102837,134.879027331
5517938196307,134880.09347,95,5383058102837,134.88009347
5517938702799,134880.599962,96,5383058102837,134.880599962
5517939282182,134881.179345,96,5383058102837,134.881179345
5517939855634,134881.752797,96,5383058102837,134.881752797
5517940501862,134882.399025,96,5383058102837,134.882399025
5518936223052,135878.120215,95,5383058102837,135.878120215
5518936963374,135878.860537,95,5383058102837,135.878860537
5518937857791,135879.754954,96,5383058102837,135.879754954
5518938987933,135880.885096,95,5383058102837,135.880885096
5518939909371,135881.806534,96,5383058102837,135.881806534
5519438567682,136380.464845,95,5383058102837,136.380464845
5519439217661,136381.114824,95,5383058102837,136.381114824
5520440918806,137382.815969,95,5383058102837,137.382815969
5520441815216,137383.712379,95,5383058102837,137.383712379
5520442379844,137384.277007,96,5383058102837,137.384277007
5520443018960,137384.916123,95,5383058102837,137.384916123
5520443689939,137385.587102,96,5383058102837,137.385587102
5520444460632,137386.357795,95,5383058102837,137.386357795
5520445475075,137387.372238,95,5383058102837,137.387372238
5520446055310,137387.952473,96,5383058102837,137.387952473
5521443405558,138385.302721,95,5383058102837,138.385302721
5521444220700,138386.117863,96,5383058102837,138.386117863
5521943931618,138885.828781,95,5383058102837,138.885828781
5521944763065,138886.660228,95,5383058102837,138.886660228
5521945436691,138887.333854,95,5383058102837,138.887333854
5522947021585,139888.918748,95,5383058102837,139.888918748
5522947683889,139889.581052,95,5383058102837,139.889581052
5522948425533,139890.322696,95,5383058102837,139.890322696
5522949131289,139891.028452,95,5383058102837,139.891028452
5522950029530,139891.926693,95,5383058102837,139.891926693
5522950782864,139892.680027,95,5383058102837,139.892680027
5522951256850,139893.154013,95,5383058102837,139.893154013
5523448254794,140390.151957,95,5383058102837,140.390151957
5523448988904,140390.886067,95,5383058102837,140.390886067
5523949802816,140891.699979,95,5383058102837,140.891699979
5523950415718,140892.312881,95,5383058102837,140.892312881
5523950946828,140892.843991,95,5383058102837,140.892843991
5523951564922,140893.462085,95,5383058102837,140.893462085
5523952324077,140894.22124,95,5383058102837,140.89422124
5524449908790,141391.805953,95,5383058102837,141.391805953
5524450598138,141392.495301,95,5383058102837,141.392495301
5524451345609,141393.242772,95,5383058102837,141.393242772
5524452267485,141394.164648,95,5383058102837,141.394164648
5524453387641,141395.284804,95,5383058102837,141.395284804
5524951430310,141893.327473,94,5383058102837,141.893327473
5524952682681,141894.579844,95,5383058102837,141.894579844
5524953328284,141895.225447,95,5383058102837,141.895225447
5525953739029,142895.636192,94,5383058102837,142.895636192
5525954458986,142896.356149,95,5383058102837,142.896356149
5526956102522,143897.999685,94,5383058102837,143.897999685
5526956651950,143898.549113,95,5383058102837,143.898549113
5526957204548,143899.101711,95,5383058102837,143.899101711
5526957811554,143899.708717,95,5383058102837,143.899708717
5526958545537,143900.4427,94,5383058102837,143.9004427
5526959210532,143901.107695,94,5383058102837,143.901107695
5526960148870,143902.046033,95,5383058102837,143.902046033
5526960814332,143902.711495,95,5383058102837,143.902711495
5526961348657,143903.24582,95,5383058102837,143.90324582
5526961914650,143903.811813,95,5383058102837,143.903811813
5527958122779,144900.019942,94,5383058102837,144.900019942
5527958814385,144900.711548,94,5383058102837,144.900711548
5527959332642,144901.229805,95,5383058102837,144.901229805
5527959986728,144901.883891,94,5383058102837,144.901883891
5527960768822,144902.665985,95,5383058102837,144.902665985
5528459461762,145401.358925,94,5383058102837,145.401358925
5528460372341,145402.269504,94,5383058102837,145.402269504
5529461904704,146403.801867,94,5383058102837,146.403801867
5529463059811,146404.956974,94,5383058102837,146.404956974
5529463877179,146405.774342,95,5383058102837,146.405774342
5529464450743,146406.347906,93,5383058102837,146.406347906
5529465067286,146406.964449,95,5383058102837,146.406964449
5529465740276,146407.637439,94,5383058102837,146.407637439
5529466376610,146408.273773,94,5383058102837,146.408273773
5529467433778,146409.330941,95,5383058102837,146.409330941
5530464191834,147406.088997,94,5383058102837,147.406088997
5530464905171,147406.802334,95,5383058102837,147.406802334
5530965573519,147907.470682,94,5383058102837,147.907470682
5530966281371,147908.178534,94,5383058102837,147.908178534
5530966928414,147908.825577,94,5383058102837,147.908825577
5531967680029,148909.577192,94,5383058102837,148.909577192
5531968372929,148910.270092,94,5383058102837,148.910270092
5531969044133,148910.941296,94,5383058102837,148.910941296
5531970301617,148912.19878,94,5383058102837,148.91219878
5531970985248,148912.882411,94,5383058102837,148.912882411
5531971591019,148913.488182,94,5383058102837,148.913488182
5531972208096,148914.105259,94,5383058102837,148.914105259
5532468509244,149410.406407,94,5383058102837,149.410406407
5532469181021,149411.078184,93,5383058102837,149.411078184
5532969472345,149911.369508,94,5383058102837,149.911369508
5532970165871,149912.063034,94,5383058102837,149.912063034
5532971067340,149912.964503,94,5383058102837,149.912964503
5532972101941,149913.999104,94,5383058102837,149.913999104
5532972765938,149914.663101,94,5383058102837,149.914663101
5533471190710,150413.087873,94,5383058102837,150.413087873
5533471716906,150413.614069,94,5383058102837,150.413614069
5533472329047,150414.22621,94,5383058102837,150.41422621
5533472999070,150414.896233,94,5383058102837,150.414896233
5533473672753,150415.569916,94,5383058102837,150.415569916
5533972092262,150913.989425,93,5383058102837,150.913989425
5533972928389,150914.825552,94,5383058102837,150.914825552
5533973522630,150915.419793,94,5383058102837,150.915419793
5534975026310,151916.923473,93,5383058102837,151.916923473
5534975877012,151917.774175,94,5383058102837,151.917774175
5535977740888,152919.638051,93,5383058102837,152.919638051
5535978747441,152920.644604,94,5383058102837,152.920644604
5535979499803,152921.396966,93,5383058102837,152.921396966
5535980210048,152922.107211,94,5383058102837,152.922107211
5535980888813,152922.785976,93,5383058102837,152.922785976
5535981735957,152923.63312,93,5383058102837,152.92363312
5535982596409,152924.493572,94,5383058102837,152.924493572
5535983327384,152925.224547,94,5383058102837,152.925224547
5535984083534,152925.980697,94,5383058102837,152.925980697
5535984952427,152926.84959,94,5383058102837,152.92684959
5536979827541,153921.724704,93,5383058102837,153.921724704
5536980763907,153922.66107,93,5383058102837,153.92266107
5536981629870,153923.527033,94,5383058102837,153.923527033
5536982443352,153924.340515,93,5383058102837,153.924340515
5536983061198,153924.958361,94,5383058102837,153.924958361
5537481160590,154423.057753,93,5383058102837,154.423057753
5537481755907,154423.65307,93,5383058102837,154.42365307
5538482895861,155424.793024,93,5383058102837,155.424793024
5538483577615,155425.474778,93,5383058102837,155.425474778
5538484279110,155426.176273,94,5383058102837,155.426176273
5538485159529,155427.056692,93,5383058102837,155.427056692
5538486396395,155428.293558,94,5383058102837,155.428293558
5538487034513,155428.931676,93,5383058102837,155.428931676
