14:43:32	CPU	%user	%nice	%system	%iowait	%steal	%idle
14:45:42	all	3,53	0,00	2,52	0,00	0,00	93,95
14:45:43	all	1,77	0,00	1,01	0,00	0,00	97,23
14:45:44	all	3,52	0,00	2,39	0,38	0,00	93,71
14:45:45	all	1,89	0,00	1,64	0,00	0,00	96,47
14:45:46	all	5,42	0,00	2,27	0,00	0,00	92,31
14:45:47	all	4,41	0,00	2,27	0,00	0,00	93,32
14:45:48	all	1,77	0,00	0,76	0,00	0,00	97,47
14:45:49	all	4,15	0,00	2,51	0,38	0,00	92,96
14:45:50	all	1,64	0,00	1,14	0,00	0,00	97,22
14:45:51	all	4,14	0,00	2,38	0,13	0,00	93,35
14:45:52	all	2,27	0,00	1,26	0,00	0,00	96,47
14:45:53	all	3,76	0,00	2,63	0,00	0,00	93,60
14:45:54	all	2,40	0,00	2,02	0,38	0,00	95,20
14:45:55	all	3,66	0,00	1,26	0,00	0,00	95,08
14:45:56	all	4,27	0,00	2,38	0,00	0,00	93,35
14:45:57	all	1,64	0,00	1,14	0,00	0,00	97,22
14:45:58	all	3,63	0,00	2,88	0,00	0,00	93,48
14:45:59	all	2,14	0,00	1,26	0,38	0,00	96,23
14:46:00	all	3,40	0,00	2,52	0,00	0,00	94,08
14:46:01	all	1,64	0,00	1,26	0,00	0,00	97,10
14:46:02	all	4,02	0,00	2,38	0,00	0,00	93,60
14:46:03	all	3,65	0,00	2,52	0,00	0,00	93,84
14:46:04	all	2,91	0,00	1,26	0,00	0,00	95,83
14:46:05	all	3,65	0,00	2,52	0,00	0,00	93,84
14:46:06	all	2,02	0,00	1,01	0,13	0,00	96,85
14:46:07	all	4,16	0,00	2,52	0,00	0,00	93,32
14:46:08	all	1,77	0,00	1,01	0,00	0,00	97,23
14:46:09	all	3,53	0,00	2,39	0,13	0,00	93,95
14:46:10	all	1,39	0,00	1,89	0,00	0,00	96,72
14:46:11	all	3,14	0,00	1,89	0,13	0,00	94,84
14:46:12	all	3,52	0,00	2,51	0,00	0,00	93,97
14:46:13	all	1,89	0,00	1,26	0,00	0,00	96,85
14:46:14	all	4,16	0,00	1,77	0,38	0,00	93,69
14:46:15	all	1,88	0,00	1,13	0,00	0,00	96,98
14:46:16	all	3,66	0,00	2,02	0,00	0,00	94,32
14:46:17	all	1,13	0,00	1,64	0,00	0,00	97,23
14:46:18	all	3,53	0,00	2,27	0,00	0,00	94,21
14:46:19	all	1,76	0,00	2,64	0,25	0,00	95,35
14:46:20	all	3,39	0,00	1,51	0,13	0,00	94,97
14:46:21	all	3,89	0,00	2,14	0,13	0,00	93,84
14:46:22	all	1,52	0,00	1,52	0,00	0,00	96,97
14:46:23	all	3,76	0,00	2,63	0,00	0,00	93,60
14:46:24	all	1,64	0,00	1,14	0,13	0,00	97,09
14:46:25	all	4,03	0,00	2,27	0,00	0,00	93,70
14:46:26	all	1,26	0,00	1,64	0,00	0,00	97,10
14:46:27	all	3,89	0,00	2,51	0,00	0,00	93,60
14:46:28	all	2,27	0,00	2,39	0,13	0,00	95,21
14:46:29	all	3,40	0,00	1,26	0,00	0,00	95,35
14:46:30	all	4,27	0,00	2,01	0,00	0,00	93,73
14:46:31	all	1,27	0,00	1,14	0,00	0,00	97,59
14:46:32	all	3,53	0,00	2,27	0,00	0,00	94,21
14:46:33	all	1,39	0,00	1,26	0,00	0,00	97,36
14:46:34	all	3,41	0,00	2,27	0,13	0,00	94,19
14:46:35	all	2,02	0,00	1,14	0,00	0,00	96,84
14:46:36	all	3,27	0,00	2,14	0,00	0,00	94,58
14:46:37	all	3,40	0,00	2,01	0,00	0,00	94,59
14:46:38	all	1,51	0,00	1,63	0,13	0,00	96,73
14:46:39	all	4,03	0,00	2,26	0,13	0,00	93,58
14:46:40	all	1,77	0,00	0,76	0,13	0,00	97,35
14:46:41	all	3,39	0,00	2,38	0,13	0,00	94,10
14:46:42	all	1,27	0,00	1,01	0,00	0,00	97,72
14:46:43	all	3,40	0,00	2,27	0,00	0,00	94,33
14:46:44	all	1,77	0,00	2,03	0,13	0,00	96,08
14:46:45	all	3,27	0,00	1,38	0,13	0,00	95,23
14:46:46	all	3,03	0,00	2,40	0,00	0,00	94,57
