time,time (ms),replication,
25119549709461,190209.345395,2,24929340364066
25120050382629,190710.018563,1,24929340364066
25120551920553,191211.556487,1,24929340364066
25121053447304,191713.083238,1,24929340364066
25121554025046,192213.66098,1,24929340364066
25122054883612,192714.519546,1,24929340364066
25122555495997,193215.131931,1,24929340364066
25123057186345,193716.822279,1,24929340364066
25123559025906,194218.66184,1,24929340364066
25124059935184,194719.571118,1,24929340364066
25124561717172,195221.353106,1,24929340364066
25125063281622,195722.917556,1,24929340364066
25125564590941,196224.226875,1,24929340364066
25126066034680,196725.670614,1,24929340364066
25126567480894,197227.116828,2,24929340364066
25127069301568,197728.937502,1,24929340364066
25127569882340,198229.518274,1,24929340364066
25128070518322,198730.154256,1,24929340364066
25128571198342,199230.834276,1,24929340364066
25129071750860,199731.386794,1,24929340364066
25129572724367,200232.360301,1,24929340364066
25130073981681,200733.617615,1,24929340364066
25130574815924,201234.451858,1,24929340364066
25131076464395,201736.100329,1,24929340364066
25131579795337,202239.431271,1,24929340364066
25132080406310,202740.042244,1,24929340364066
25132581621546,203241.25748,1,24929340364066
25133082789951,203742.425885,1,24929340364066
25133584545992,204244.181926,2,24929340364066
25134086204210,204745.840144,1,24929340364066
25134587857597,205247.493531,1,24929340364066
25135089347207,205748.983141,1,24929340364066
25135590238074,206249.874008,1,24929340364066
25136090997252,206750.633186,1,24929340364066
25136591544996,207251.18093,1,24929340364066
25137092672639,207752.308573,1,24929340364066
25137594889655,208254.525589,1,24929340364066
25138096700007,208756.335941,1,24929340364066
25138598730981,209258.366915,1,24929340364066
25139100152800,209759.788734,1,24929340364066
25139600836666,210260.4726,1,24929340364066
25140102565646,210762.20158,1,24929340364066
25140604314517,211263.950451,2,24929340364066
25141106003993,211765.639927,1,24929340364066
25141607679332,212267.315266,1,24929340364066
25142108947152,212768.583086,1,24929340364066
25142610628696,213270.26463,1,24929340364066
25143111307290,213770.943224,1,24929340364066
25143613069460,214272.705394,1,24929340364066
25144114753996,214774.38993,1,24929340364066
25144616226330,215275.862264,1,24929340364066
25145117941514,215777.577448,1,24929340364066
25145619660597,216279.296531,1,24929340364066
25146121103926,216780.73986,1,24929340364066
25146622979112,217282.615046,1,24929340364066
25147123893291,217783.529225,1,24929340364066
25147625527425,218285.163359,2,24929340364066
25148127430531,218787.066465,1,24929340364066
25148628855354,219288.491288,1,24929340364066
25149130903381,219790.539315,1,24929340364066
25149631547232,220291.183166,1,24929340364066
25150133136792,220792.772726,1,24929340364066
25150634962341,221294.598275,1,24929340364066
25151136587778,221796.223712,1,24929340364066
25151638291480,222297.927414,1,24929340364066
25152139927194,222799.563128,1,24929340364066
25152641632230,223301.268164,1,24929340364066
25153143273201,223802.909135,1,24929340364066
25153645124233,224304.760167,1,24929340364066
