VIR,RES (kB),RES (MB),SHR,time (s)
9061748,170048,170.048,156988,272
9061748,170116,170.116,157048,273
9061748,170120,170.12,157052,274
9061748,170120,170.12,157052,275
9061748,170120,170.12,157052,276
9061748,170124,170.124,157056,277
9061748,170124,170.124,157056,278
9061748,170004,170.004,156940,279
9061748,170008,170.008,156948,280
9061748,170008,170.008,156948,281
9061748,170008,170.008,156948,282
9061748,170008,170.008,156948,283
9061748,170008,170.008,156948,284
9061748,170008,170.008,156948,285
9061748,170008,170.008,156948,286
9061748,166712,166.712,153652,287
9061748,166712,166.712,153652,288
9061748,166712,166.712,153652,289
9061748,166712,166.712,153652,290
9061748,166712,166.712,153652,291
9061748,166712,166.712,153652,292
9061748,166712,166.712,153652,293
9061748,166712,166.712,153652,294
9061748,166712,166.712,153652,295
9061748,166712,166.712,153652,296
9061748,166712,166.712,153652,297
9061748,166712,166.712,153652,298
9061748,166712,166.712,153652,299
9061748,166712,166.712,153652,300
9061748,166712,166.712,153652,301
9061748,166712,166.712,153632,302
9061748,166776,166.776,153708,303
9061748,166776,166.776,153716,304
9061748,171436,171.436,158376,305
9061748,169832,169.832,156772,306
9061748,169832,169.832,156772,307
9061748,169832,169.832,156772,308
9061748,169764,169.764,156704,309
9061748,169980,169.98,156920,310
9061748,169984,169.984,156924,311
9061748,169984,169.984,156924,312
9061748,169984,169.984,156924,313
9061748,169984,169.984,156924,314
9061748,169984,169.984,156924,315
9061748,169984,169.984,156924,316
9061748,169984,169.984,156924,317
9061748,169984,169.984,156924,318
9061748,169984,169.984,156924,319
9061748,169984,169.984,156924,320
9061748,169768,169.768,156708,321
9061748,169768,169.768,156708,322
9061748,173380,173.38,160320,323
9061748,173416,173.416,160356,324
9061748,173416,173.416,160356,325
9061748,173416,173.416,160356,326
9061748,173416,173.416,160356,327
9061748,173352,173.352,160292,328
9061748,173224,173.224,160164,329
9061748,173096,173.096,160036,330
9061748,172968,172.968,159908,331
9061748,172840,172.84,159772,332
9061748,172776,172.776,159708,333
9061748,172648,172.648,159580,334
9061748,172520,172.52,159452,335
9061748,172392,172.392,159324,336
9061748,172264,172.264,159196,337
9061748,172136,172.136,159068,338
9061748,172004,172.004,158936,339
9061748,171800,171.8,158732,340
9061748,171668,171.668,158600,341
9061748,171464,171.464,158396,342
9061748,171328,171.328,158260,343
9061748,171192,171.192,158128,344
9061748,170896,170.896,157832,345
9060720,170736,170.736,157672,346
9058664,170552,170.552,157492,347
9056608,170368,170.368,157308,348
9054552,170184,170.184,157124,349
9052496,170000,170,156940,350
9050440,169816,169.816,156756,351
9048384,169632,169.632,156572,352
9046328,174052,174.052,160992,353
9044272,173868,173.868,160808,354
9042216,168256,168.256,155196,355
9040160,168072,168.072,155012,356
9037076,167796,167.796,154736,357
9035020,167616,167.616,154556,358
9032964,167432,167.432,154372,359
9030908,167248,167.248,154188,360
9028852,167064,167.064,153996,361
9026796,166880,166.88,153812,362
9024740,166696,166.696,153628,363
9022684,166576,166.576,153508,364
9020628,166392,166.392,153324,365
9018572,166208,166.208,153144,366
9016516,166024,166.024,152960,367
9014460,165840,165.84,152776,368
9012404,165656,165.656,152592,369
9010348,165472,165.472,152408,370
9008292,165220,165.22,152156,371
9006236,165020,165.02,151956,372
9003152,164744,164.744,151680,373
9001096,164560,164.56,151496,374
8999040,166748,166.748,153684,375
8996984,166568,166.568,153504,376
8996984,166568,166.568,153504,377
8996984,166568,166.568,153504,378
8996984,166568,166.568,153504,379
8996984,166568,166.568,153504,380
8996984,166568,166.568,153504,381
8996984,166568,166.568,153504,382
8996984,166584,166.584,153524,383
8996984,164196,164.196,151136,384
8996984,164196,164.196,151136,385
8996984,164196,164.196,151136,386
8996984,164196,164.196,151136,387
8996984,164196,164.196,151136,388
8996984,164196,164.196,151136,389
8996984,164196,164.196,151128,390
8996984,164196,164.196,151128,391
8996984,164196,164.196,151128,392
8996984,164196,164.196,151128,393
8996984,164196,164.196,151128,394
8996984,164196,164.196,151128,395
8996984,164260,164.26,151192,396
8996984,164260,164.26,151192,397
8996984,164260,164.26,151192,398
8996984,164260,164.26,151192,399
8996984,164260,164.26,151192,400
8996984,164260,164.26,151192,401
8996984,164192,164.192,151124,402
8996984,164192,164.192,151124,403
8996984,164196,164.196,151128,404
8996984,164196,164.196,151128,405
8996984,164196,164.196,151128,406
8996984,164196,164.196,151128,407
8996984,164196,164.196,151128,408
8996984,164196,164.196,151128,409
8996984,164196,164.196,151128,410
8996984,164196,164.196,151128,411
8996984,164196,164.196,151128,412
8996984,164196,164.196,151128,413
8996984,164196,164.196,151128,414
8996984,164196,164.196,151128,415
8996984,164196,164.196,151128,416
8996984,164196,164.196,151128,417
8996984,164196,164.196,151128,418
8996984,164196,164.196,151128,419
8996984,164196,164.196,151128,420
8996984,164196,164.196,151128,421
8996984,164196,164.196,151128,422
8996984,164196,164.196,151128,423
8996984,164196,164.196,151128,424
8996984,164196,164.196,151128,425
8996984,164196,164.196,151128,426
8996984,164196,164.196,151128,427
8996984,164260,164.26,151192,428
8996984,164260,164.26,151192,429
8996984,164260,164.26,151192,430
8996984,164260,164.26,151196,431
8996984,164260,164.26,151196,432
8996984,164260,164.26,151196,433
8996984,164260,164.26,151200,434
8996984,164192,164.192,151132,435
8996984,164196,164.196,151136,436
8996984,164196,164.196,151136,437
8996984,164196,164.196,151136,438
8996984,164196,164.196,151136,439
8996984,164196,164.196,151136,440
8996984,164196,164.196,151136,441
8996984,164196,164.196,151136,442
8996984,164196,164.196,151136,443
8996984,164196,164.196,151136,444
8996984,164196,164.196,151136,445
8996984,164196,164.196,151136,446
8996984,164200,164.2,151140,447
8996984,164200,164.2,151136,448
8996984,164204,164.204,151140,449
8996984,164204,164.204,151140,450
8996984,164204,164.204,151140,451
8996984,166656,166.656,153592,452
8996984,166656,166.656,153592,453
8996984,166656,166.656,153592,454
8996984,166656,166.656,153592,455
8996984,166660,166.66,153596,456
8996984,166660,166.66,153596,457
8996984,166660,166.66,153596,458
8996984,166660,166.66,153596,459
8996984,166724,166.724,153660,460
8996984,166724,166.724,153660,461
8996984,166724,166.724,153660,462
8996984,166724,166.724,153660,463
8996984,166724,166.724,153660,464
8996984,166724,166.724,153660,465
8996984,166724,166.724,153660,466
8996984,166656,166.656,153592,467
8996984,166660,166.66,153596,468
8996984,166660,166.66,153596,469
8996984,166660,166.66,153596,470
8996984,166660,166.66,153596,471
8996984,166660,166.66,153596,472
8996984,166660,166.66,153596,473
8996984,166660,166.66,153596,474
8995956,166568,166.568,153504,475
8994928,166476,166.476,153412,476
8993900,166384,166.384,153316,477
8992872,166292,166.292,153224,478
8991844,166200,166.2,153132,479
8990816,166108,166.108,153040,480
8989788,166016,166.016,152948,481
8988760,165924,165.924,152856,482
8987732,165836,165.836,152768,483
8986704,165744,165.744,152676,484
8985676,165652,165.652,152584,485
