id,timeInit,timeFinal,time (ns),time (ms),
209,26322969330160,26473519140149,150549809989,150549.809989,150.549809989
210,26322969457213,26474521598524,151552141311,151552.141311,151.552141311
211,26322969583524,26475524268123,152554684599,152554.684599,152.554684599
212,26322969709164,26476526760200,153557051036,153557.051036,153.557051036
213,26322969836844,26477529346425,154559509581,154559.509581,154.559509581
214,26322969964027,26478531929388,155561965361,155561.965361,155.561965361
215,26322970090794,26479534379946,156564289152,156564.289152,156.564289152
216,26322970217181,26480536602882,157566385701,157566.385701,157.566385701
217,26322970343893,26481539084120,158568740227,158568.740227,158.568740227
218,26322970471131,26482541663640,159571192509,159571.192509,159.571192509
219,26322970598069,26483544149432,160573551363,160573.551363,160.573551363
220,26322970724531,26484546656458,161575931927,161575.931927,161.575931927
221,26322970850471,26485549230616,162578380145,162578.380145,162.578380145
222,26322970976802,26486552154752,163581177950,163581.17795,163.58117795
223,26322971104236,26487554575267,164583471031,164583.471031,164.583471031
224,26322971232818,26488556975901,165585743083,165585.743083,165.585743083
225,26322971359279,26489559257481,166587898202,166587.898202,166.587898202
226,26322971485926,26490560937923,167589451997,167589.451997,167.589451997
227,26322971612222,26492564659595,169593047373,169593.047373,169.593047373
228,26322971739311,26493567123864,170595384553,170595.384553,170.595384553
229,26322971867215,26494569553800,171597686585,171597.686585,171.597686585
230,26322971993201,26495572158853,172600165652,172600.165652,172.600165652
231,26322972198326,26496574586699,173602388373,173602.388373,173.602388373
232,26322972341576,26497577030722,174604689146,174604.689146,174.604689146
233,26322972522160,26498579482031,175606959871,175606.959871,175.606959871
234,26322972687059,26499582049023,176609361964,176609.361964,176.609361964
235,26322972842696,26500584574055,177611731359,177611.731359,177.611731359
236,26322973032632,26501587174266,178614141634,178614.141634,178.614141634
237,26322973165874,26502589583947,179616418073,179616.418073,179.616418073
238,26322973294340,26503592195409,180618901069,180618.901069,180.618901069
239,26322973421924,26504594737208,181621315284,181621.315284,181.621315284
240,26322973549303,26505597204825,182623655522,182623.655522,182.623655522
241,26322973676381,26506599859610,183626183229,183626.183229,183.626183229
242,26322973816163,26507602215453,184628399290,184628.39929,184.62839929
243,26322974003347,26508604295597,185630292250,185630.29225,185.63029225
244,26322974201702,26509606903666,186632701964,186632.701964,186.632701964
245,26322974389703,26510609487311,187635097608,187635.097608,187.635097608
246,26322974565952,26511611967070,188637401118,188637.401118,188.637401118
247,26322974697661,26512614471384,189639773723,189639.773723,189.639773723
248,26322974827004,26513617025281,190642198277,190642.198277,190.642198277
249,26322974955475,26514619610168,191644654693,191644.654693,191.644654693
250,26322975082834,26515622159079,192647076245,192647.076245,192.647076245
251,26322975211169,26516624602916,193649391747,193649.391747,193.649391747
252,26322975338398,26517627202196,194651863798,194651.863798,194.651863798
253,26322975464809,26518629845801,195654380992,195654.380992,195.654380992
254,26322975607949,26519632406368,196656798419,196656.798419,196.656798419
255,26322975800330,26520634945226,197659144896,197659.144896,197.659144896
256,26322975932078,26347219100956,24243168878,24243.168878,24.243168878
257,26322976113495,26521637539730,198661426235,198661.426235,198.661426235
258,26322976218271,26522640136635,199663918364,199663.918364,199.663918364
259,26322976277554,26523642627534,200666349980,200666.34998,200.66634998
260,26322976317776,26524645182478,201668864702,201668.864702,201.668864702
261,26322976357158,26525647777799,202671420641,202671.420641,202.671420641
262,26322976396872,26526650361278,203673964406,203673.964406,203.673964406
263,26322976437003,26527652918903,204676481900,204676.4819,204.6764819
264,26322976497120,26528655480673,205678983553,205678.983553,205.678983553
265,26322976537494,26529656356797,206679819303,206679.819303,206.679819303
266,26322976576672,26530659023670,207682446998,207682.446998,207.682446998
267,26322976616490,26531661402752,208684786262,208684.786262,208.684786262
268,26322976656536,26532662520482,209685863946,209685.863946,209.685863946
269,26322976695895,26533665207296,210688511401,210688.511401,210.688511401
270,26322976734834,26534667833692,211691098858,211691.098858,211.691098858
271,26322976774117,26535670378859,212693604742,212693.604742,212.693604742
272,26322976813684,26536672917056,213696103372,213696.103372,213.696103372
273,26322976853006,26537675568935,214698715929,214698.715929,214.698715929
274,26322976892015,26538676646917,215699754902,215699.754902,215.699754902
275,26322976931330,26373281886486,50304955156,50304.955156,50.304955156
276,26322976970830,26374284703148,51307732318,51307.732318,51.307732318
277,26322977010144,26422403814614,99426804470,99426.80447,99.42680447
278,26322977049237,26375285669026,52308619789,52308.619789,52.308619789
279,26322977088861,26376288228586,53311139725,53311.139725,53.311139725
280,26322977128147,26377290860264,54313732117,54313.732117,54.313732117
281,26322977166930,26378293340995,55316174065,55316.174065,55.316174065
282,26322977219179,26379296124512,56318905333,56318.905333,56.318905333
283,26322977271062,26380298592299,57321321237,57321.321237,57.321321237
284,26322977311291,26381301155257,58323843966,58323.843966,58.323843966
