18:48:38,CPU,%user,%nice,%system,%iowait,%steal,%idle,%real
18:52:56,all,0.13,0,0.13,0,0,99.75,0.25
18:52:57,all,0.13,0,0.22,0,0,99.66,0.34
18:52:58,all,0.19,0,0.28,0,0,99.53,0.47
18:52:59,all,0.22,0,0.19,0,0,99.59,0.41
18:53:00,all,0.09,0,0.13,0,0,99.78,0.22
18:53:01,all,0.19,0,0.25,0,0,99.56,0.44
18:53:02,all,0.13,0,0.28,0,0,99.59,0.41
18:53:03,all,0.16,0,0.19,0,0,99.66,0.34
18:53:04,all,0.28,0,0.28,0,0,99.44,0.56
18:53:05,all,0.13,0,0.28,0,0,99.59,0.41
18:53:06,all,0.09,0,0.25,0,0,99.66,0.34
18:53:07,all,0.22,0,0.25,0,0,99.53,0.47
18:53:08,all,0.13,0,0.22,0,0,99.66,0.34
18:53:09,all,0.22,0,0.22,0,0,99.56,0.44
18:53:10,all,0.25,0,0.19,0,0,99.56,0.44
18:53:11,all,0.16,0,0.28,0,0,99.56,0.44
18:53:12,all,0.13,0,0.13,0,0,99.75,0.25
18:53:13,all,0.16,0,0.13,0,0,99.72,0.28
18:53:14,all,0.19,0,0.22,0,0,99.59,0.41
18:53:15,all,0.19,0,0.25,0,0,99.56,0.44
18:53:16,all,0.88,0,0.75,0,0,98.37,1.63
18:53:17,all,0.13,0,0.19,0,0,99.69,0.31
18:53:18,all,0.09,0,0.19,0,0,99.72,0.28
18:53:19,all,0.09,0,0.16,0,0,99.75,0.25
18:53:20,all,0.19,0,0.22,0,0,99.59,0.41
18:53:21,all,0.13,0,0.22,0,0,99.66,0.34
18:53:22,all,0.22,0,0.19,0,0,99.59,0.41
18:53:23,all,0.16,0,0.19,0,0,99.66,0.34
18:53:24,all,0.13,0,0.25,0,0,99.62,0.38
18:53:25,all,0.13,0,0.19,0,0,99.69,0.31
18:53:26,all,1.98,0,0.78,0,0,97.24,2.76
18:53:27,all,2.91,0,0.25,0,0,96.84,3.16
18:53:28,all,0.13,0,0.22,0,0,99.66,0.34
18:53:29,all,0.19,0,0.25,0,0,99.56,0.44
18:53:30,all,0.16,0,0.16,0,0,99.69,0.31
18:53:31,all,0.28,0,0.28,0,0,99.44,0.56
18:53:32,all,0.09,0,0.16,0,0,99.75,0.25
18:53:33,all,0.19,0,0.28,0,0,99.53,0.47
18:53:34,all,0.19,0,0.22,0,0,99.59,0.41
18:53:35,all,0.19,0,0.19,0,0,99.62,0.38
