# time,PE1,PE2,PE3,PE4,total
630,2,1,5,1,9
635,2,1,5,1,9
640,2,1,5,1,9
645,2,1,5,1,9
650,2,1,5,1,9
655,2,1,5,1,9
660,2,1,5,1,9
665,2,1,5,1,9
670,2,1,5,1,9
675,2,1,5,1,9
680,2,1,5,1,9
685,2,1,5,1,9
690,2,1,5,1,9
695,2,1,5,1,9
700,2,1,5,1,9
705,2,1,5,1,9
710,2,1,5,1,9
715,2,1,5,1,9
720,2,1,5,1,9
725,2,1,5,1,9
730,2,1,5,1,9
735,2,1,5,1,9
740,2,1,5,1,9
745,2,1,5,1,9
750,2,1,5,1,9
755,2,1,5,1,9
760,2,1,5,1,9
765,2,1,5,1,9
770,2,1,5,1,9
775,2,1,5,1,9
780,2,1,5,1,9
785,2,1,5,1,9
790,2,1,5,1,9
795,2,1,5,1,9
800,2,1,5,1,9
805,2,1,5,1,9
810,2,1,5,1,9
815,2,1,5,1,9
820,2,1,5,1,9
825,2,1,5,1,9
830,2,1,5,1,9
835,2,1,5,1,9
840,2,1,5,1,9
845,2,1,5,1,9
850,2,1,5,1,9
855,2,1,5,1,9
860,2,1,5,1,9
865,2,1,5,1,9
870,2,1,5,1,9
875,2,1,5,1,9
880,2,1,5,1,9
885,2,1,5,1,9
890,2,1,5,1,9
895,2,1,5,1,9
900,2,1,5,1,9
905,2,1,5,1,9
910,2,1,5,1,9
915,2,1,5,1,9
920,2,1,5,1,9
925,2,1,5,1,9
930,2,1,5,1,9
935,2,1,5,1,9
940,2,1,5,1,9
945,2,1,5,1,9
950,2,1,5,1,9
955,2,1,5,1,9
960,2,1,5,1,9
965,2,1,5,1,9
970,2,1,5,1,9
975,2,1,5,1,9
980,2,1,5,1,9
985,2,1,5,1,9
990,2,1,5,1,9
995,2,1,5,1,9
1000,2,1,5,1,9
1005,2,1,5,1,9
1010,2,1,5,1,9
1015,2,1,5,1,9
1020,2,1,5,1,9
1025,2,1,5,1,9
1030,2,1,5,1,9
1035,2,1,5,1,9
1040,2,1,5,1,9
1045,2,1,5,1,9
1050,2,1,5,1,9
1055,2,1,5,1,9
1060,2,1,5,1,9
1065,2,1,5,1,9
1070,2,1,5,1,9
1075,2,1,5,1,9
1080,2,1,5,1,9
1085,2,1,5,1,9
1090,2,1,5,1,9
1095,2,1,5,1,9
1100,2,1,5,1,9
1105,2,1,5,1,9
1110,2,1,5,1,9
1115,2,1,5,1,9
1120,2,1,5,1,9
1125,2,1,5,1,9
1130,2,1,5,1,9
1135,2,1,5,1,9
1140,2,1,5,1,9
1145,2,1,5,1,9
1150,2,1,5,1,9
1155,2,1,5,1,9
1160,2,1,5,1,9
1165,2,1,5,1,9
1170,2,1,5,1,9
1175,2,1,5,1,9
1180,2,1,5,1,9
1185,2,1,5,1,9
1190,2,1,5,1,9
1195,2,1,5,1,9
1200,2,1,5,1,9
1205,2,1,5,1,9
1210,2,1,5,1,9
1215,2,1,5,1,9
1220,2,1,5,1,9
1225,2,1,5,1,9
1230,2,1,5,1,9
1235,2,1,5,1,9
1240,2,1,5,1,9
1245,2,1,5,1,9
1250,2,1,5,1,9
1255,2,1,5,1,9
1260,2,1,5,1,9
1265,2,1,5,1,9
1270,2,1,5,1,9
1275,2,1,5,1,9
1280,2,1,5,1,9
1285,2,1,5,1,9
1290,2,1,5,1,9
1295,2,1,5,1,9
1300,2,1,5,1,9
1305,2,1,5,1,9
1310,2,1,5,1,9
1315,2,1,5,1,9
1320,2,1,5,1,9
1325,2,1,5,1,9
1330,2,1,5,1,9
1335,2,1,5,1,9
1340,2,1,5,1,9
1345,2,1,5,1,9
1350,2,1,5,1,9
1355,2,1,5,1,9
1360,2,1,5,1,9
1365,2,1,5,1,9
1370,2,1,5,1,9
1375,2,1,5,1,9
1380,2,1,5,1,9
1385,2,1,5,1,9
1390,2,1,5,1,9
1395,2,1,5,1,9
1400,2,1,5,1,9
1405,2,1,5,1,9
1410,2,1,5,1,9
1415,2,1,5,1,9
1420,2,1,5,1,9
1425,2,1,5,1,9
1430,2,1,5,1,9
1435,2,1,5,1,9
1440,2,1,5,1,9
1445,2,1,5,1,9
1450,2,1,5,1,9
1455,2,1,5,1,9
1460,2,1,5,1,9
1465,2,1,5,1,9
1470,2,1,5,1,9
1475,2,1,5,1,9
1480,2,1,5,1,9
1485,2,1,5,1,9
1490,2,1,5,1,9
1495,2,1,5,1,9
1500,2,1,5,1,9
1505,2,1,5,1,9
1510,2,1,5,1,9
1515,2,1,5,1,9
1520,2,1,5,1,9
1525,2,1,5,1,9
1530,2,1,5,1,9
1535,2,1,5,1,9
1540,2,1,5,1,9
1545,2,1,5,1,9
1550,2,1,5,1,9
1555,2,1,5,1,9
1560,2,1,5,1,9
1565,2,1,5,1,9
1570,2,1,5,1,9
1575,2,1,5,1,9
1580,2,1,5,1,9
1585,2,1,5,1,9
1590,2,1,5,1,9
1595,2,1,5,1,9
1600,2,1,5,1,9
1605,2,1,5,1,9
1610,2,1,5,1,9
1615,2,1,5,1,9
1620,2,1,5,1,9
1625,2,1,5,1,9
1630,2,1,5,1,9
1635,2,1,5,1,9
1640,2,1,5,1,9
1645,2,1,5,1,9
1650,2,1,5,1,9
1655,2,1,5,1,9
1660,2,1,5,1,9
1665,2,1,5,1,9
1670,2,1,5,1,9
1675,2,1,5,1,9
1680,2,1,5,1,9
1685,2,1,5,1,9
1690,2,1,5,1,9
1695,2,1,5,1,9
1700,2,1,5,1,9
1705,2,1,5,1,9
1710,2,1,5,1,9
1715,2,1,5,1,9
1720,2,1,5,1,9
1725,2,1,5,1,9
1730,2,1,5,1,9
1735,2,1,5,1,9
1740,2,1,5,1,9
1745,2,1,5,1,9
1750,2,1,5,1,9
1755,2,1,5,1,9
1760,2,1,5,1,9
1765,2,1,5,1,9
1770,2,1,5,1,9
1775,2,1,5,1,9
1780,2,1,5,1,9
1785,2,1,5,1,9
1790,2,1,5,1,9
1795,2,1,5,1,9
1800,2,1,5,1,9
1805,2,1,5,1,9
1810,2,1,5,1,9
1815,2,1,5,1,9
1820,2,1,5,1,9
1825,2,1,5,1,9
1830,2,1,5,1,9
1835,2,1,5,1,9
1840,2,1,5,1,9
1845,2,1,5,1,9
1850,2,1,5,1,9
1855,2,1,5,1,9
1860,2,1,5,1,9
