14:08:42	CPU	%user	nice	%system	%iowait	%steal	%idle
14:10:39	all	4,67	0,00	3,16	0,00	0,00	92,17
14:10:40	all	3,04	0,00	2,15	0,00	0,00	94,80
14:10:41	all	5,04	0,00	3,28	0,00	0,00	91,68
14:10:42	all	3,17	0,00	1,90	0,00	0,00	94,93
14:10:43	all	6,19	0,00	3,03	0,38	0,00	90,39
14:10:44	all	3,78	0,00	2,02	0,00	0,00	94,20
14:10:45	all	4,92	0,00	3,40	0,00	0,00	91,68
14:10:46	all	2,55	0,00	2,68	0,13	0,00	94,65
14:10:47	all	4,82	0,00	1,65	0,00	0,00	93,53
14:10:48	all	5,58	0,00	2,41	0,25	0,00	91,75
14:10:49	all	3,05	0,00	1,91	0,00	0,00	95,04
14:10:50	all	4,70	0,00	2,79	0,00	0,00	92,51
14:10:51	all	2,92	0,00	1,52	0,00	0,00	95,56
14:10:52	all	4,56	0,00	2,91	0,13	0,00	92,41
14:10:53	all	2,81	0,00	1,92	0,26	0,00	95,02
14:10:54	all	5,42	0,00	2,77	0,13	0,00	91,68
14:10:55	all	3,76	0,00	3,01	0,00	0,00	93,22
14:10:56	all	6,64	0,00	2,26	0,00	0,00	91,10
14:10:57	all	5,70	0,00	2,53	0,00	0,00	91,76
14:10:58	all	3,92	0,00	2,02	0,38	0,00	93,68
14:10:59	all	5,30	0,00	3,15	0,00	0,00	91,55
14:11:00	all	3,29	0,00	2,28	0,00	0,00	94,44
14:11:01	all	5,90	0,00	3,51	0,00	0,00	90,59
14:11:02	all	2,91	0,00	2,15	0,13	0,00	94,81
14:11:03	all	5,21	0,00	2,16	0,00	0,00	92,63
14:11:04	all	3,04	0,00	2,92	0,25	0,00	93,79
14:11:05	all	4,08	0,00	1,27	0,00	0,00	94,65
14:11:06	all	4,60	0,00	2,43	0,00	0,00	92,98
14:11:07	all	3,18	0,00	1,78	0,00	0,00	95,03
14:11:08	all	5,20	0,00	2,66	0,13	0,00	92,01
14:11:09	all	3,18	0,00	1,91	0,13	0,00	94,78
14:11:10	all	5,31	0,00	2,78	0,13	0,00	91,78
14:11:11	all	2,93	0,00	1,53	0,00	0,00	95,54
14:11:12	all	4,17	0,00	3,16	0,00	0,00	92,67
14:11:13	all	3,30	0,00	3,05	0,00	0,00	93,65
14:11:14	all	4,31	0,00	1,65	0,38	0,00	93,66
14:11:15	all	4,44	0,00	3,05	0,00	0,00	92,51
14:11:16	all	3,65	0,00	2,14	0,00	0,00	94,21
14:11:17	all	5,33	0,00	3,17	0,00	0,00	91,50
14:11:18	all	3,30	0,00	1,78	0,13	0,00	94,80
14:11:19	all	4,80	0,00	3,41	0,38	0,00	91,41
14:11:20	all	2,66	0,00	2,03	0,00	0,00	95,31
14:11:21	all	4,78	0,00	2,89	0,00	0,00	92,33
14:11:22	all	3,16	0,00	3,03	0,00	0,00	93,81
14:11:23	all	4,57	0,00	2,03	0,00	0,00	93,40
14:11:24	all	4,68	0,00	2,91	0,25	0,00	92,15
